NPRI_ID,COMP_NAME,FACI_NAME,ADDRESS,CITY,PROVINCE,LATITUDE,LONGITUDE,DATUM,NAICS4,NAICS4_NAME_EN,NAICS6,NAICS6_NAME_EN,INTUITIVE_SECTOR_NAME_E,UNITS,TOTAL_ALL_RELEASES,SYMBOL
0000000001,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc., ,County of Athabasca,AB,54.923116,-112.861867,1983,3221,"Pulp, paper and paperboard mills",322112,Chemical Pulp Mills,Pulp and Paper,tonnes,95.1655,1
0000000054,Glencore Canada Corporation,Brunswick Mine,Highway 430 Highway West,Bathurst,NB,47.4717,-65.8897,1983,2122,Metal ore mining,212231,Lead-Zinc Ore Mining,Mining and Quarrying,tonnes,5.40063,1
0000000099,Mines Agnico Eagle Limitée,Division Laronde,10200 Route de Preissac,Rouyn-Noranda,QC,48.2375,-78.3958,1983,2122,Metal ore mining,212220,Gold And Silver Ore Mining,Mining and Quarrying,tonnes,295.09572,1
0000000161,Bunge Canada Holdings I ULC,Bunge Canada - Hamilton Plant,0 - 515 Victoria Avenue North,Hamilton,ON,43.2683,-79.8506,1983,3112,Grain and oilseed milling,311224,Oilseed Processing,Other Manufacturing,tonnes,0.096,1
0000000201,City of Peterborough,PTBO WASTE WATER TREATMENT PLANT,425 Kennedy Road,Peterborough,ON,44.2754,-78.3165,1983,2213,"Water, sewage and other systems US",221320,Sewage Treatment Facilities,Water and Wastewater Systems,tonnes,258.87864,1
0000000205,City of Thunder Bay,Water Pollution Control Plant,901 Atlantic Avenue,Thunder Bay,ON,48.3989,-89.225,1983,2213,"Water, sewage and other systems US",221320,Sewage Treatment Facilities,Water and Wastewater Systems,tonnes,83.224,1
0000000222,Cytec Canada Inc.,Welland Plant,9061 Garner Road,Niagara Falls,ON,43.0472,-79.1583,1983,3259,Other chemical product manufacturing,325999,All Other Miscellaneous Chemical Product Manufacturing,Chemicals,tonnes,15.158,1
0000000223,Daishowa-Marubeni International Ltd-Peace River Pulp,Peace River Pulp Division,11/13/24-085-21-W5,MD of Northern Light,AB,56.3772,-117.1756,1983,3221,"Pulp, paper and paperboard mills",322112,Chemical Pulp Mills,Pulp and Paper,tonnes,75.5992271,1
0000000267,Capital Power Generation Services Inc.,Genesee Thermal Generating Station,0 - 50444 Highway 770,Warburg,AB,53.344,-114.305,1983,2211,"Electric power generation, transmission and distribution",221112,Fossil-Fuel Electric Power Generation,Electricity,tonnes,0.1103293,1
0000000322,General Dynamics OTS- Canada Valleyfield Inc.,General Dynamic OTS-Canada Valleyfield Inc.,55 Masson,Salaberry-de-Valleyfield,QC,45.2867,-74.0717,1983,3259,Other chemical product manufacturing,325920,Explosives Manufacturing,Chemicals,tonnes,1.031,1
0000000479,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,50 Northstar Road,Quesnel,BC,53,-122.4583,1983,3221,"Pulp, paper and paperboard mills",322112,Chemical Pulp Mills,Pulp and Paper,tonnes,144.75065,1
0000000488,Ingredion Canada Corporation,Ingredion Canada Incorporated  - Cardinal Plant,4040 James Street,Cardinal,ON,44.785,-75.3767,1983,3112,Grain and oilseed milling,311221,Wet Corn Milling,Other Manufacturing,tonnes,3.331,1
0000000495,City of Windsor,Lou Romano Water Reclamation Plant,4155 Ojibway Parkway,Windsor,ON,42.2833,-83.0864,1983,2213,"Water, sewage and other systems US",221320,Sewage Treatment Facilities,Water and Wastewater Systems,tonnes,272.515,1
0000000672,Zellstoff Celgar Limited Partnership,Zellstoff Celgar Limited Partnership,1921 Arrow Lakes Drive,Castlegar,BC,49.3357,-117.728,1983,3221,"Pulp, paper and paperboard mills",322112,Chemical Pulp Mills,Pulp and Paper,tonnes,73.20428,1
0000000723,Catalyst Paper Corporation,Powell River Division,5775 Ash Avenue,Powell River,BC,49.8727,-124.5516,1983,3221,"Pulp, paper and paperboard mills",322111,Mechanical Pulp Mills,Pulp and Paper,tonnes,523.738293,2
0000000765,Axiall Canada Inc.,Axiall Canada Inc.,31 de l'Industrie Chemin,Beauharnois,QC,45.309,-73.894,1983,3251,Basic chemical manufacturing,325181,Alkali And Chlorine Manufacturing,Chemicals,tonnes,0.000000002,1
0000000770,City of Ottawa,Robert O. Pickard Environmental Centre,800 Greens Creek Drive,Gloucester,ON,45.4606,-75.5908,1983,2213,"Water, sewage and other systems US",221320,Sewage Treatment Facilities,Water and Wastewater Systems,tonnes,4640.34913,4
0000000775,Resolute FP Canada Inc,Thorold Division,2 Allanburg Road,Thorold,ON,43.1063,-79.1998,1983,3221,"Pulp, paper and paperboard mills",322122,Newsprint Mills,Pulp and Paper,tonnes,6.342,1
0000000815,Northern Pulp Nova Scotia Corporation,Northern Pulp Nova Scotia Corporation,260 Abercrombie Branch Road,New Glasgow,NS,45.65243,-62.71653,1983,3221,"Pulp, paper and paperboard mills",322112,Chemical Pulp Mills,Pulp and Paper,tonnes,11.76,1
0000000821,Manitoba Hydro,Brandon Generating Station,3305 Victoria Avenue East,Brandon,MB,49.8449,-99.8896,1983,2211,"Electric power generation, transmission and distribution",221112,Fossil-Fuel Electric Power Generation,Electricity,tonnes,0.0064,1
0000000928,Domtar Inc.,Dryden Mill,1 Duke Street,Dryden,ON,49.7831,-92.8472,1983,3221,"Pulp, paper and paperboard mills",322112,Chemical Pulp Mills,Pulp and Paper,tonnes,194.632123,1
0000000929,Produits forestiers Résolu,Usine de Gatineau,79 Main,Gatineau,QC,45.4808,-75.6556,1983,3221,"Pulp, paper and paperboard mills",322122,Newsprint Mills,Pulp and Paper,tonnes,53.533582,1
0000000930,Produits forestiers Résolu,Thunder Bay Operations,2001 Neebing Avenue,Thunder Bay,ON,48.3486,-89.3067,1983,3221,"Pulp, paper and paperboard mills",322112,Chemical Pulp Mills,Pulp and Paper,tonnes,118.364552,1
0000000947,Lantic Inc. Taber Factory,Lantic Inc. Taber Beet Sugar Factory,0 - 5405 64th Street Street,Taber,AB,49.7894,-112.1261,1983,3113,Sugar and confectionery product manufacturing,311310,Sugar Manufacturing,Other Manufacturing,tonnes,24.851,1
0000000979,Produits forestiers Résolu,Usine Kénogami,3750 de Champlain,Jonquière,QC,48.4289,-71.2437,1983,3221,"Pulp, paper and paperboard mills",322122,Newsprint Mills,Pulp and Paper,tonnes,12.8409,1
0000000983,Produits forestiers Résolu,Division Alma,1100 Melanion Rue,Alma,QC,48.565,-71.6558,1983,3221,"Pulp, paper and paperboard mills",322111,Mechanical Pulp Mills,Pulp and Paper,tonnes,210.229729,1
0000001028,Alberta Newsprint Co.,ALBERTA NEWSPRINT,43 Highway,Whitecourt,AB,54.1791,-115.806,1983,3221,"Pulp, paper and paperboard mills",322122,Newsprint Mills,Pulp and Paper,tonnes,3.103868,1
